time,survival
0,100
1.009634057,99.15507399
0.906044931,97.69989342
1.041080755,99.90886986
1.175547409,96.90827139
1.790252109,96.94707851
1.948410506,95.68470616
2.061194255,94.05069807
2.012228807,92.72615797
2.002435717,91.53713841
2.622664725,91.51537599
3.063149734,90.64249887
3.011123945,89.35446647
3.011123945,88.33707327
2.962158497,87.06496083
2.983376858,91.51537599
3.344088992,86.50828798
3.906958474,86.37886163
4.109908598,85.41718283
4.783469139,85.2086943
5.28985348,84.90232021
5.952315187,84.86448327
5.952315187,82.28736745
6.030931934,83.86180444
6.584948775,81.61891489
6.964423224,79.91445097
7.029827072,78.67078688
7.089945761,81.35300531
8.038896143,77.65293123
7.977852551,78.84420617
8.663601992,77.23553576
9.177506027,76.88830856
9.825015784,76.69380692
10.16987244,75.89993192
10.80188942,75.48886396
11.29825398,75.03052319
11.91580454,74.83510781
12.10106971,73.84664747
12.72260446,73.84973048
13.33304038,73.84973048
13.96505736,73.52858364
14.57703479,73.43352417
15.11538268,73.08532543
15.80416332,72.81873577
16.29272968,72.33597272
16.94016171,72.27739554
17.55059763,72.27739554
18.11787141,71.87146593
18.8146316,71.60427176
19.33433895,71.26330557
19.64550271,71.08658305
20.15882382,71.16751205
20.76925974,71.16751205
21.37969566,71.16751205
21.99013158,71.16751205
22.6005675,71.16751205
23.21100342,71.16751205
23.82143933,71.16751205
24.43187525,71.16751205
25.04231117,71.16751205
25.65274709,71.16751205
26.26318301,71.16751205
26.91678106,70.86691861
27.48405484,70.79755089
28.09449076,70.79755089
28.75672124,70.63106837
29.26333681,70.27151236
29.87030434,70.33509944
